ETYPE,FREQ,EVENT
Summary: Nov. 16,2,
Temperature record,43,
THUDERSTORM WINDS,2,WIND
THUNDEERSTORM WINDS,2,WIND
THUNDERESTORM WINDS,1,WIND
THUNDERSNOW,1,WINTER WEATHER
Thundersnow shower,1,WINTER WEATHER
THUNDERSTORM,45,WIND
THUNDERSTORM  WINDS,7,WIND
THUNDERSTORM DAMAGE,2,WIND
THUNDERSTORM DAMAGE TO,1,WIND
THUNDERSTORM HAIL,1,HAIL
THUNDERSTORM W INDS,1,WIND
THUNDERSTORM WIND,82563,WIND
Thunderstorm Wind,1,WIND
THUNDERSTORM WIND (G40),1,WIND
THUNDERSTORM WIND 50,2,WIND
THUNDERSTORM WIND 52,1,WIND
THUNDERSTORM WIND 56,1,WIND
THUNDERSTORM WIND 59,1,WIND
THUNDERSTORM WIND 59 MPH,1,WIND
THUNDERSTORM WIND 59 MPH.,1,WIND
THUNDERSTORM WIND 60 MPH,4,WIND
THUNDERSTORM WIND 65 MPH,1,WIND
THUNDERSTORM WIND 65MPH,1,WIND
THUNDERSTORM WIND 69,1,WIND
THUNDERSTORM WIND 98 MPH,1,WIND
THUNDERSTORM WIND G50,4,WIND
THUNDERSTORM WIND G51,1,WIND
THUNDERSTORM WIND G52,2,WIND
THUNDERSTORM WIND G55,1,WIND
THUNDERSTORM WIND G60,2,WIND
THUNDERSTORM WIND G61,1,WIND
THUNDERSTORM WIND TREES,1,WIND
THUNDERSTORM WIND.,1,WIND
THUNDERSTORM WIND/ TREE,1,WIND
THUNDERSTORM WIND/ TREES,4,WIND
THUNDERSTORM WIND/AWNING,1,WIND
THUNDERSTORM WIND/HAIL,1,WIND
THUNDERSTORM WIND/LIGHTNING,1,WIND
THUNDERSTORM WINDS,20843,WIND
THUNDERSTORM WINDS      LE CEN,1,WIND
THUNDERSTORM WINDS 13,1,WIND
THUNDERSTORM WINDS 2,1,WIND
THUNDERSTORM WINDS 50,1,WIND
THUNDERSTORM WINDS 52,1,WIND
THUNDERSTORM WINDS 53,1,WIND
THUNDERSTORM WINDS 60,1,WIND
THUNDERSTORM WINDS 61,1,WIND
THUNDERSTORM WINDS 62,1,WIND
THUNDERSTORM WINDS 63 MPH,1,WIND
THUNDERSTORM WINDS AND,2,WIND
THUNDERSTORM WINDS FUNNEL CLOU,2,WIND
THUNDERSTORM WINDS G,2,WIND
THUNDERSTORM WINDS G60,1,WIND
THUNDERSTORM WINDS HAIL,61,WIND
THUNDERSTORM WINDS HEAVY RAIN,1,HEAVY RAINS
THUNDERSTORM WINDS LIGHTNING,7,WIND
THUNDERSTORM WINDS SMALL STREA,1,WIND
THUNDERSTORM WINDS URBAN FLOOD,1,FLOOD
THUNDERSTORM WINDS.,3,WIND
THUNDERSTORM WINDS/ FLOOD,2,FLOOD
THUNDERSTORM WINDS/ HAIL,1,WIND
THUNDERSTORM WINDS/FLASH FLOOD,1,WIND
THUNDERSTORM WINDS/FLOODING,1,FLOOD
THUNDERSTORM WINDS/FUNNEL CLOU,1,FUNNEL CLOUD
THUNDERSTORM WINDS/HAIL,24,WIND
THUNDERSTORM WINDS/HEAVY RAIN,1,HEAVY RAINS
THUNDERSTORM WINDS53,1,WIND
THUNDERSTORM WINDSHAIL,1,WIND
THUNDERSTORM WINDSS,51,WIND
THUNDERSTORM WINS,1,WIND
THUNDERSTORMS,4,WIND
THUNDERSTORMS WIND,6,WIND
THUNDERSTORMS WINDS,14,WIND
THUNDERSTORMW,1,WIND
THUNDERSTORMW 50,1,WIND
THUNDERSTORMW WINDS,3,WIND
THUNDERSTORMWINDS,1,WIND
THUNDERSTROM WIND,1,WIND
THUNDERSTROM WINDS,2,WIND
THUNDERTORM WINDS,3,WIND
THUNDERTSORM WIND,1,WIND
THUNDESTORM WINDS,2,WIND
THUNERSTORM WINDS,1,WIND
TIDAL FLOOD,1,FLOOD
TIDAL FLOODING,20,FLOOD
Tidal Flooding,5,FLOOD
TORNADO,60652,TORNADO
TORNADO DEBRIS,1,TORNADO
TORNADO F0,19,TORNADO
TORNADO F1,4,TORNADO
TORNADO F2,3,TORNADO
TORNADO F3,2,TORNADO
TORNADO/WATERSPOUT,1,TORNADO
TORNADOES,2,TORNADO
"TORNADOES, TSTM WIND, HAIL",1,TORNADO
TORNADOS,1,TORNADO
TORNDAO,1,TORNADO
TORRENTIAL RAIN,1,HEAVY RAINS
Torrential Rainfall,1,HEAVY RAINS
TROPICAL DEPRESSION,60,TROPICAL STORM
TROPICAL STORM,690,TROPICAL STORM
TROPICAL STORM ALBERTO,1,TROPICAL STORM
TROPICAL STORM DEAN,2,TROPICAL STORM
TROPICAL STORM GORDON,1,TROPICAL STORM
TROPICAL STORM JERRY,3,TROPICAL STORM
TSTM,1,WIND
TSTM HEAVY RAIN,3,HEAVY RAINS
TSTM WIND,219940,WIND
Tstm Wind,2,WIND
TSTM WIND  (G45),1,WIND
TSTM WIND (41),1,WIND
TSTM WIND (G35),1,WIND
TSTM WIND (G40),10,WIND
TSTM WIND (G45),39,WIND
TSTM WIND 40,1,WIND
TSTM WIND 45,1,WIND
TSTM WIND 50,1,WIND
TSTM WIND 51,2,WIND
TSTM WIND 52,5,WIND
TSTM WIND 55,3,WIND
TSTM WIND 65),1,WIND
TSTM WIND AND LIGHTNING,1,WIND
TSTM WIND DAMAGE,1,WIND
TSTM WIND G45,1,WIND
TSTM WIND G58,1,WIND
TSTM WIND/HAIL,1028,WIND
TSTM WINDS,6,WIND
TSTM WND,1,WIND
TSTMW,1,WIND
TSUNAMI,20,TSUNAMI
TUNDERSTORM WIND,1,WIND
TYPHOON,11,HURRICANE
Unseasonable Cold,1,WINTER WEATHER
UNSEASONABLY COLD,23,WINTER WEATHER
UNSEASONABLY COOL,12,WINTER WEATHER
UNSEASONABLY COOL & WET,2,WINTER WEATHER
UNSEASONABLY DRY,56,DROUGHT
UNSEASONABLY HOT,10,HEAT
UNSEASONABLY WARM,126,HEAT
UNSEASONABLY WARM & WET,1,HEAT
UNSEASONABLY WARM AND DRY,13,HEAT
UNSEASONABLY WARM YEAR,2,HEAT
UNSEASONABLY WARM/WET,2,HEAT
UNSEASONABLY WET,19,HEAVY RAINS
UNSEASONAL LOW TEMP,2,WINTER WEATHER
UNSEASONAL RAIN,2,HEAVY RAINS
UNUSUAL WARMTH,10,HEAT
UNUSUAL/RECORD WARMTH,2,HEAT
UNUSUALLY COLD,8,WINTER WEATHER
UNUSUALLY LATE SNOW,1,WINTER WEATHER
UNUSUALLY WARM,4,HEAT
URBAN AND SMALL,2,FLOOD
URBAN AND SMALL STREAM,3,FLOOD
URBAN AND SMALL STREAM FLOOD,3,FLOOD
URBAN AND SMALL STREAM FLOODIN,6,FLOOD
URBAN FLOOD,249,FLOOD
Urban flood,1,FLOOD
Urban Flood,1,FLOOD
URBAN FLOOD LANDSLIDE,1,FLOOD
URBAN FLOODING,98,FLOOD
Urban Flooding,1,FLOOD
URBAN FLOODS,3,FLOOD
URBAN SMALL,1,FLOOD
URBAN SMALL STREAM FLOOD,2,FLOOD
URBAN/SMALL,2,FLOOD
URBAN/SMALL FLOODING,1,FLOOD
URBAN/SMALL STREAM,8,FLOOD
URBAN/SMALL STREAM  FLOOD,2,FLOOD
URBAN/SMALL STREAM FLOOD,30,FLOOD
URBAN/SMALL STREAM FLOODING,4,FLOOD
URBAN/SMALL STRM FLDG,1,FLOOD
URBAN/SML STREAM FLD,3392,FLOOD
URBAN/SML STREAM FLDG,1,FLOOD
URBAN/STREET FLOODING,3,FLOOD
VERY DRY,2,DROUGHT
VERY WARM,1,HEAT
VOG,1,FOG
VOLCANIC ASH,22,VOLCANIC ASH
Volcanic Ash,1,VOLCANIC ASH
Volcanic Ash Plume,1,VOLCANIC ASH
VOLCANIC ASHFALL,3,VOLCANIC ASH
VOLCANIC ERUPTION,2,VOLCANIC ASH
WAKE LOW WIND,2,
WALL CLOUD,5,FUNNEL CLOUD
WALL CLOUD/FUNNEL CLOUD,1,FUNNEL CLOUD
WARM DRY CONDITIONS,1,DROUGHT
WARM WEATHER,1,HEAT
WATER SPOUT,1,TORNADO
WATERSPOUT,3796,TORNADO
WATERSPOUT-,10,TORNADO
WATERSPOUT FUNNEL CLOUD,1,TORNADO
WATERSPOUT TORNADO,1,TORNADO
WATERSPOUT/,1,TORNADO
WATERSPOUT/ TORNADO,2,TORNADO
WATERSPOUT/TORNADO,8,TORNADO
WATERSPOUTS,37,TORNADO
WATERSPOUT-TORNADO,2,TORNADO
WAYTERSPOUT,1,TORNADO
wet micoburst,1,WIND
WET MICROBURST,6,WIND
Wet Month,4,HEAVY RAINS
WET SNOW,1,WINTER WEATHER
WET WEATHER,1,HEAVY RAINS
Wet Year,4,HEAVY RAINS
Whirlwind,2,WIND
WHIRLWIND,1,WIND
WILD FIRES,4,WILDFIRE
WILD/FOREST FIRE,1457,WILDFIRE
WILD/FOREST FIRES,1,WILDFIRE
WILDFIRE,2761,WILDFIRE
WILDFIRES,8,WILDFIRE
WIND,340,WIND
Wind,6,WIND
WIND ADVISORY,12,WIND
WIND AND WAVE,1,WIND
WIND CHILL,18,WINTER WEATHER
WIND CHILL/HIGH WIND,1,WINTER WEATHER
WIND DAMAGE,27,WIND
Wind Damage,4,WIND
WIND GUSTS,3,WIND
WIND STORM,1,WIND
WIND/HAIL,1,WIND
WINDS,36,WIND
WINTER MIX,3,WINTER WEATHER
WINTER STORM,11433,WINTER WEATHER
WINTER STORM HIGH WINDS,1,WINTER WEATHER
WINTER STORM/HIGH WIND,1,WINTER WEATHER
WINTER STORM/HIGH WINDS,1,WINTER WEATHER
WINTER STORMS,3,WINTER WEATHER
WINTER WEATHER,7026,WINTER WEATHER
Winter Weather,19,WINTER WEATHER
WINTER WEATHER MIX,6,WINTER WEATHER
WINTER WEATHER/MIX,1104,WINTER WEATHER
WINTERY MIX,2,WINTER WEATHER
WINTRY MIX,90,WINTER WEATHER
Wintry mix,3,WINTER WEATHER
Wintry Mix,1,WINTER WEATHER
WND,1,WIND
